threshold,precision,recall,f1,fpr,detection_delay_h
0.3692838722545591,0.2682823129251701,1.0,0.42306402950050287,0.9728660260033918,75.0
0.37194361398127235,0.2777288732394366,1.0,0.43472270065449536,0.9276427360090447,75.0
0.3739489171849722,0.28773369813041494,1.0,0.4468838526912181,0.8829847371396269,75.0
0.3755315711243338,0.29862754377662093,1.0,0.45991253644314867,0.8377614471452798,75.0
0.37720135838374746,0.31022615535889875,1.0,0.47354596622889306,0.7931034482758621,75.0
0.37940428989750646,0.32292732855680656,1.0,0.4882011605415861,0.747880158281515,75.0
0.38128217880769444,0.336,0.9984152139461173,0.5027932960893855,0.7037874505370265,75.0
0.3836675936185978,0.3507795100222717,0.9984152139461173,0.519159456118665,0.6591294516676088,75.0
0.3859421360732896,0.36655011655011654,0.9968304278922345,0.536003408606732,0.614471452798191,75.0
0.3888962576752821,0.3842394624312767,0.9968304278922345,0.5546737213403881,0.5698134539287734,75.0
0.39180885014452976,0.4039820166987797,0.9968304278922345,0.5749542961608776,0.5245901639344263,75.0
0.39588819769054095,0.425575101488498,0.9968304278922345,0.5964912280701754,0.47993216506500846,75.0
0.4008749379068802,0.4496068620443174,0.9968304278922345,0.6197044334975369,0.43527416619559073,75.0
0.40504137060135065,0.47687642153146326,0.9968304278922345,0.6451282051282051,0.3900508762012436,75.0
0.41060950224202897,0.507258064516129,0.9968304278922345,0.672367717797969,0.3453928773318259,75.0
0.41804306929459023,0.5413793103448276,0.9952456418383518,0.701284198771636,0.30073487846240815,75.0
0.42416290254202965,0.5809435707678076,0.9952456418383518,0.7336448598130841,0.2560768795929904,75.0
0.43455261759754793,0.6273726273726273,0.9952456418383518,0.7696078431372549,0.2108535895986433,75.0
0.44498495253664644,0.6789587852494577,0.9920760697305864,0.8061815840309079,0.16732617297908423,75.0
0.4596205283259671,0.7425860023724793,0.9920760697305864,0.8493894165535957,0.12266817410966648,75.0
0.4799017947344366,0.817824377457405,0.9889064976228209,0.8952654232424677,0.07857546636517806,75.0
0.49396302549352683,0.8494152046783626,0.9207606973058637,0.8836501901140684,0.05822498586772187,75.0
0.5012988243582269,0.8559602649006622,0.8193343898573693,0.8372469635627531,0.04918032786885246,75.0
0.5086452992756499,0.8666666666666667,0.7210776545166403,0.78719723183391,0.0395703787450537,75.0
0.5182433175035758,0.8699551569506726,0.6148969889064976,0.7205199628597957,0.03278688524590164,75.0
0.5296417831728619,0.8852459016393442,0.5134706814580031,0.649949849548646,0.023742227247032222,75.0
0.5436763018592755,0.8885017421602788,0.4041204437400951,0.5555555555555556,0.018089315997738834,75.0
0.5572388689748797,0.9033816425120773,0.29635499207606975,0.44630071599045346,0.011305822498586773,75.0
0.5793014210947994,0.9296875,0.18858954041204437,0.31357048748353095,0.005087620124364048,75.0
0.7064516620602269,1.0,0.07606973058637084,0.14138438880706922,0.0,75.0
