method,fpr,tpr,auc
Isolation Forest,0.0,0.0,0.9709873960684047
Isolation Forest,0.0,0.001584786053882726,0.9709873960684047
Isolation Forest,0.0,0.11410459587955626,0.9709873960684047
Isolation Forest,0.0005652911249293386,0.11410459587955626,0.9709873960684047
Isolation Forest,0.0005652911249293386,0.12361331220285261,0.9709873960684047
Isolation Forest,0.0011305822498586771,0.12361331220285261,0.9709873960684047
Isolation Forest,0.0011305822498586771,0.13629160063391443,0.9709873960684047
Isolation Forest,0.0016958733747880158,0.13629160063391443,0.9709873960684047
Isolation Forest,0.0016958733747880158,0.14580031695721077,0.9709873960684047
Isolation Forest,0.0022611644997173543,0.14580031695721077,0.9709873960684047
Isolation Forest,0.0022611644997173543,0.1537242472266244,0.9709873960684047
Isolation Forest,0.002826455624646693,0.1537242472266244,0.9709873960684047
Isolation Forest,0.002826455624646693,0.15530903328050713,0.9709873960684047
Isolation Forest,0.0033917467495760316,0.15530903328050713,0.9709873960684047
Isolation Forest,0.0033917467495760316,0.1600633914421553,0.9709873960684047
Isolation Forest,0.00395703787450537,0.1600633914421553,0.9709873960684047
Isolation Forest,0.00395703787450537,0.16798732171156894,0.9709873960684047
Isolation Forest,0.005087620124364048,0.16798732171156894,0.9709873960684047
Isolation Forest,0.005087620124364048,0.19809825673534073,0.9709873960684047
Isolation Forest,0.005652911249293386,0.19809825673534073,0.9709873960684047
Isolation Forest,0.005652911249293386,0.19968304278922344,0.9709873960684047
Isolation Forest,0.006218202374222725,0.19968304278922344,0.9709873960684047
Isolation Forest,0.006218202374222725,0.2218700475435816,0.9709873960684047
Isolation Forest,0.006783493499152063,0.2218700475435816,0.9709873960684047
Isolation Forest,0.006783493499152063,0.23137876386687797,0.9709873960684047
Isolation Forest,0.007348784624081402,0.23137876386687797,0.9709873960684047
Isolation Forest,0.007348784624081402,0.2329635499207607,0.9709873960684047
Isolation Forest,0.00791407574901074,0.2329635499207607,0.9709873960684047
Isolation Forest,0.00791407574901074,0.24247226624405704,0.9709873960684047
