scenario,n_runs,capture_rate_pct,fuel_mean_kg,fuel_std_kg,reward_mean,reward_std,convergence_step_mean_h,convergence_step_std_h,failure_time_expired_pct,failure_fuel_pct,failure_intercept_pct
deterministic,10,0.0,1099.0,0.0,-21235.93992822311,0.0,23.0,0.0,0.0,100.0,0.0
mild,10,0.0,586.8767517622306,0.8600839567370818,-5857.583412678639,89.02047237431958,23.0,0.0,100.0,0.0,0.0
severe,10,0.0,373.7322710032606,15.826434001841992,-3744.661402869281,1917.5573421628844,23.6,1.8547236990991407,100.0,0.0,0.0
zavoli-federici,10,0.0,548.0862144112136,5.58021826369902,-5383.994444954262,386.03919661196977,23.6,0.66332495807108,100.0,0.0,0.0
