run,mean_us,median_us,p99_us,max_us
1,4.990378000000001,4.791,6.919909999999997,104.667
2,4.7761700000000005,4.75,5.503329999999997,27.166
3,4.6910419999999995,4.667,5.125,29.542
mean,4.819196666666667,4.736,5.849413333333331,53.791666666666664
across-run COV (%),3.2004663674935165,,,
