step,mean_reward,value_loss,explained_variance,entropy_loss,approx_kl,success_rate_pct,run
2760,,,,,,0.0,live_seed_1
5520,,482.52439168294273,-0.0007078647613525391,-4.26035033861796,0.010085252113640308,0.0,live_seed_1
8280,,84.3628443400065,0.06364661455154419,-4.265607221921285,0.011317278258502483,0.0,live_seed_1
11040,,142.8137056986491,0.04065287113189697,-4.265943288803101,0.0020029081497341394,0.0,live_seed_1
